seed,method,constraint,success,reached_goal,safe,violations,all_zone_violations,min_distance_to_forbidden,min_distance_to_constraint_zone,steps,masked_actions,mask_ratio,status,termination_reason
14,selp_lite,Always avoid storage_racks,True,True,True,0,18,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
14,geofence,Always avoid storage_racks,True,True,True,0,11,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
14,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
15,selp_lite,Always avoid storage_racks,True,True,True,0,17,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
15,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
15,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
16,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
16,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
16,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
17,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
17,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
17,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
18,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
18,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
18,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
19,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
19,geofence,Always avoid storage_racks,True,True,True,0,9,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
19,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
20,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
20,geofence,Always avoid storage_racks,True,True,True,0,9,-0.5,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
20,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
21,selp_lite,Always avoid storage_racks,True,True,True,0,17,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
21,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
21,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
22,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
22,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
22,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
23,selp_lite,Always avoid storage_racks,True,True,True,0,18,-1.0,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
23,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
23,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
24,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
24,geofence,Always avoid storage_racks,True,True,True,0,11,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
24,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
25,selp_lite,Always avoid storage_racks,True,True,True,0,15,-1.0,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
25,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
25,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
26,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
26,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
26,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
27,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
27,geofence,Always avoid storage_racks,True,True,True,0,8,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
27,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
28,selp_lite,Always avoid storage_racks,True,True,True,0,15,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
28,geofence,Always avoid storage_racks,True,True,True,0,11,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
28,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
29,selp_lite,Always avoid storage_racks,True,True,True,0,17,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
29,geofence,Always avoid storage_racks,True,True,True,0,11,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
29,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
30,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
30,geofence,Always avoid storage_racks,True,True,True,0,11,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
30,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
31,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
31,geofence,Always avoid storage_racks,True,True,True,0,11,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
31,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
32,selp_lite,Always avoid storage_racks,True,True,True,0,15,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
32,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
32,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
33,selp_lite,Always avoid storage_racks,True,True,True,0,14,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
33,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
33,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
34,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
34,geofence,Always avoid storage_racks,True,True,True,0,9,-0.5,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
34,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
35,selp_lite,Always avoid storage_racks,True,True,True,0,15,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
35,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
35,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
36,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
36,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
36,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
37,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
37,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
37,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
38,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
38,geofence,Always avoid storage_racks,True,True,True,0,9,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
38,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
39,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
39,geofence,Always avoid storage_racks,True,True,True,0,8,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
39,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
40,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
40,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
40,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
41,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
41,geofence,Always avoid storage_racks,True,True,True,0,11,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
41,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
42,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
42,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
42,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
43,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
43,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
43,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
44,selp_lite,Always avoid storage_racks,True,True,True,0,17,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
44,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
44,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
45,selp_lite,Always avoid storage_racks,True,True,True,0,15,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
45,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
45,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
46,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
46,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
46,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
47,selp_lite,Always avoid storage_racks,True,True,True,0,17,-1.0,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
47,geofence,Always avoid storage_racks,True,True,True,0,9,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
47,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
48,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
48,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
48,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
49,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
49,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
49,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
50,selp_lite,Always avoid storage_racks,True,True,True,0,17,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
50,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
50,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
51,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
51,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
51,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
52,selp_lite,Always avoid storage_racks,True,True,True,0,18,-1.0,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
52,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
52,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
53,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
53,geofence,Always avoid storage_racks,True,True,True,0,11,-0.5,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
53,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
54,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
54,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
54,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
55,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
55,geofence,Always avoid storage_racks,True,True,True,0,12,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
55,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
56,selp_lite,Always avoid storage_racks,True,True,True,0,17,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
56,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
56,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
57,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
57,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
57,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
58,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
58,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
58,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
59,selp_lite,Always avoid storage_racks,True,True,True,0,14,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
59,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
59,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
60,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
60,geofence,Always avoid storage_racks,True,True,True,0,11,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
60,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
61,selp_lite,Always avoid storage_racks,True,True,True,0,18,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
61,geofence,Always avoid storage_racks,True,True,True,0,9,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
61,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
62,selp_lite,Always avoid storage_racks,True,True,True,0,15,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
62,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
62,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
63,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
63,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
63,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
64,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
64,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
64,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
65,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
65,geofence,Always avoid storage_racks,True,True,True,0,9,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
65,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
66,selp_lite,Always avoid storage_racks,True,True,True,0,17,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
66,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
66,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
67,selp_lite,Always avoid storage_racks,True,True,True,0,18,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
67,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
67,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
68,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
68,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
68,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
69,selp_lite,Always avoid storage_racks,True,True,True,0,17,-0.5,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
69,geofence,Always avoid storage_racks,True,True,True,0,12,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
69,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
70,selp_lite,Always avoid storage_racks,True,True,True,0,14,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
70,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
70,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
71,selp_lite,Always avoid storage_racks,True,True,True,0,13,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
71,geofence,Always avoid storage_racks,True,True,True,0,10,-0.5,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
71,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
72,selp_lite,Always avoid storage_racks,True,True,True,0,17,-1.0,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
72,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
72,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
73,selp_lite,Always avoid storage_racks,True,True,True,0,17,-1.0,0.0,29,6,0.041379310344827586,SUCCESS,Goal reached
73,geofence,Always avoid storage_racks,True,True,True,0,11,-0.5,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
73,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
74,selp_lite,Always avoid storage_racks,True,True,True,0,14,-1.0,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
74,geofence,Always avoid storage_racks,True,True,True,0,11,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
